Customer ID,Name,Address,"Contact Information (Phone, Email)",Date of Birth,Social Security Number or National ID,Account Number,Account Type,Account Balance,Account Open Date,Account Status,Transaction ID,Date and Time of Transaction,Transaction Type,Transaction Amount,Transaction Description,Credit Score,Loan or Credit Card Details,Credit Limit,Outstanding Loan Amount,Credit History,Username,Password (usually hashed),Two-Factor Authentication (2FA) Status,Bank Name,Branch Name,Branch Address,SWIFT/BIC Code,ATM Location,Card Number,ATM Transaction Details
521854,Jason Erickson,"819 Hughes Run
Bowersburgh, DE 43732","535.934.4889, zward@example.org",1998-08-d,"('301-88-9663',)",1615766003,Savings,40968.51,2022-02-27,Closed,94002,2022-06-25 10:51:06,Withdrawal,2668.62,Boy hold item.,586,Use situation although chance Congress degree.,9104.27,4137.47,Agreement both hard great security remain.,edward38,N7MhiIvXYcq#,Disabled,"Keller, Weaver and Wallace",Group,"667 Mark Knoll Apt. 035
New Phyllis, UT 50295",GBDFGB94,front,2720591343568369,Little west need man pick perform.
568991,Ronald Bennett,"2173 Amy Loaf Apt. 371
Lake Melissatown, VI 55041","(601)655-9754, thomasjames@example.com",1983-04-d,"(4591769082,)",4184854593,Investment,97629.08,2019-11-02,Active,380723,2023-06-06 06:02:48,Withdrawal,2576.1,Be movement me remain child then.,592,In TV be simply whatever.,3878.3,2724.19,Song audience morning message bad wife sound brother.,jbrown,h6@*yqHVyrLA,Enabled,"George, Anderson and Leblanc",and Sons,"2977 Cook Shore
Port Franceshaven, AZ 82816",DFPKGBI8TR7,key,5214952212859097,Dinner change matter receive easy conference upon money.
665087,Jennifer Horton DDS,"887 William Skyway
Johnsonburgh, ID 66237","001-334-585-9450x84368, jessica28@example.com",1952-06-d,"(1419198104,)",7506236672,Savings,99232.7,2021-10-11,Frozen,944179,2022-09-11 02:46:09,Withdrawal,737.65,Industry important eat know best.,804,Third couple strategy.,21815.07,7065.91,Assume institution sometimes window create yet.,nhenry,dUp5Rj4lH@y2,Enabled,Sanders-Reeves,Group,"4537 Sarah Plaza
Ambershire, IN 73921",MNBJGBAMTKZ,class,2265443721410965,Vote from management easy.
50767,Samuel Taylor,"5287 Reid Pine
Jamesview, VT 64147","001-965-338-7457x81738, thomaslane@example.net",1958-11-d,"(3588846794,)",6235093456,Checking,99202.76,2023-07-19,Frozen,700051,2023-03-04 18:45:12,Transfer,8018.55,Source social drive or should method bring.,723,Still adult place pay president.,47360.48,36793.07,Economy moment service memory.,jason15,7FoEgrRm%LVU,Enabled,Booth-Underwood,PLC,"7184 Colon Lakes Suite 890
Cunninghamstad, TN 47837",QXJKGBRO29A,dream,5550929563162711,Admit describe use available fund study.
857319,Richard Jones,"578 Kenneth Stravenue
Kimberlyview, AR 24786","537.241.4198x89423, diana66@example.com",1980-03-d,"(7288136561,)",2663357853,Credit,93391.77,2020-01-26,Closed,253815,2023-10-10 13:18:15,Withdrawal,9376.71,Although north of attack.,794,Opportunity author beyond another debate worker put account.,4062.82,276.8,Specific PM computer college weight church.,davispatrick,ieX(3b4vo6qf,Enabled,Schaefer Group,Ltd,"06933 James Forges Apt. 854
South Ianburgh, WI 43375",UHFBGBTSNBO,must,2283157932690649,Will whether way start realize.
309724,Tracy Cox,"54313 Lindsey Burgs
West Mary, CT 25894","(683)568-2795x3877, vanessa18@example.com",1949-10-d,"(2033377015,)",9800446586,Checking,67609.54,2022-09-07,Frozen,593279,2022-12-23 10:28:41,Deposit,4300.53,Get experience sister past show president.,534,Second scientist under be.,27019.87,25615.12,Onto research paper into race energy.,yolsen,2op8(Vwv$1R9,Disabled,Gray-Rojas,LLC,"2195 Snyder Lake Apt. 876
Port Paul, VI 07467",UAVZGB9N,interest,2225147661747497,Prove send morning serve.
542161,Jessica Alexander,"73395 Rowe Drive
Patriciaburgh, SD 84565","001-436-909-4607x83930, rowemary@example.net",1957-11-d,"(1896053513,)",7501304389,Checking,92393.49,2020-10-25,Closed,121422,2021-12-06 05:34:54,Withdrawal,2472.06,Tv including tough including boy space rise.,576,Community chair nearly ok sometimes our last.,25940.64,6507.51,While former happy.,kiara46,R!vGYybH228G,Disabled,Smith-Rios,LLC,"Unit 3410 Box 8960
DPO AE 97814",QYOPGBG0,statement,2709247026984242,Happen finally woman side program next seven them.
664602,Calvin Williams,"374 Thomas Flat
Lake Amanda, MP 55548","4496533196, ian38@example.net",1989-08-d,"('410-50-6372',)",2357960306,Savings,20089.47,2021-06-28,Frozen,612141,2022-09-27 03:40:38,Deposit,7825.93,Tax want reality hit seven action.,799,Between sport stuff will wide.,18668.67,15015.57,Easy simple still over man wind same business.,alyssapeck,(WIYUo^v^R54,Enabled,Smith-Arnold,Ltd,"816 Butler Courts Apt. 992
Lake Brittneyville, MN 55819",DMAQGB3MIYD,their,2270333065824793,Usually I front education long deep expert.
344990,Rhonda Clark,"14728 Dennis Skyway
East Beckyport, VA 16992","359.364.7771, daltonmary@example.com",2005-10-d,"('765-27-1233',)",3039602027,Investment,98732.04,2018-12-09,Closed,814182,2023-08-05 02:45:30,Withdrawal,2444.63,Evidence social message material.,438,Human another goal together indeed summer.,29332.05,4438.84,Lead else Congress five.,mendozasean,Bz0G9#o%j)UE,Disabled,"Bradley, Powell and Martinez",Group,"41330 Sarah Center Suite 842
Pamelaside, AR 10660",TJUSGBCU1E5,most,2276355082832321,They religious say run student within recognize.
129224,Dr. Edgar Carter,"35970 Harris Circle Apt. 329
West John, DE 94371","+1-898-502-0805x05003, douglas79@example.org",1956-07-d,"(1082440367,)",2737725720,Checking,27241.64,2021-08-07,Closed,880371,2023-06-18 02:54:43,Deposit,1339.07,Fact sound do.,807,Mouth work training.,44119.36,22079.51,Sing get face stand amount thought.,barkerjack,*)Do#zuV!8ff,Disabled,Johnson-King,Ltd,"84724 William Village
Frazierfort, AL 56440",HPEOGB5OO59,single,2273027096985121,Old upon shoulder risk couple arm thus.
